# Time (hours),Membrane Thickness (cm),Voltage (V),Voltage Check(V),Current Density (A/cm^2),Current Density Check(A/cm^2),Power (W),Power Check(W)
0.064064,0.014688,1.943187,1.943187,0.756792,0.756792,1000.000000,1000.000000
0.065065,0.014644,1.943433,1.943433,0.756696,0.756696,1000.000000,1000.000000
0.066066,0.014600,1.943679,1.943679,0.756600,0.756600,1000.000000,1000.000000
0.067067,0.014556,1.943926,1.943926,0.756504,0.756504,1000.000000,1000.000000
0.068068,0.014512,1.944174,1.944174,0.756408,0.756408,1000.000000,1000.000000
0.069069,0.014469,1.944423,1.944423,0.756311,0.756311,1000.000000,1000.000000
0.070070,0.014425,1.944673,1.944673,0.756214,0.756214,1000.000000,1000.000000
0.071071,0.014382,1.944923,1.944923,0.756117,0.756117,1000.000000,1000.000000
0.072072,0.014339,1.945173,1.945173,0.756019,0.756019,1000.000000,1000.000000
0.073073,0.014296,1.945425,1.945425,0.755921,0.755921,1000.000000,1000.000000
0.074074,0.014253,1.945677,1.945677,0.755823,0.755823,1000.000000,1000.000000
0.075075,0.014210,1.945930,1.945930,0.755725,0.755725,1000.000000,1000.000000
0.076076,0.014168,1.946183,1.946183,0.755627,0.755627,1000.000000,1000.000000
0.077077,0.014125,1.946438,1.946438,0.755528,0.755528,1000.000000,1000.000000
0.078078,0.014083,1.946692,1.946692,0.755429,0.755429,1000.000000,1000.000000
0.079079,0.014041,1.946948,1.946948,0.755330,0.755330,1000.000000,1000.000000
0.080080,0.013999,1.947204,1.947204,0.755231,0.755231,1000.000000,1000.000000
0.081081,0.013957,1.947462,1.947462,0.755131,0.755131,1000.000000,1000.000000
0.082082,0.013915,1.947719,1.947719,0.755031,0.755031,1000.000000,1000.000000
0.083083,0.013873,1.947978,1.947978,0.754931,0.754931,1000.000000,1000.000000
0.084084,0.013831,1.948237,1.948237,0.754830,0.754830,1000.000000,1000.000000
0.085085,0.013790,1.948497,1.948497,0.754730,0.754730,1000.000000,1000.000000
0.086086,0.013749,1.948758,1.948758,0.754629,0.754629,1000.000000,1000.000000
0.087087,0.013707,1.949019,1.949019,0.754527,0.754527,1000.000000,1000.000000
0.088088,0.013666,1.949281,1.949281,0.754426,0.754426,1000.000000,1000.000000
0.089089,0.013625,1.949544,1.949544,0.754324,0.754324,1000.000000,1000.000000
0.090090,0.013584,1.949807,1.949807,0.754222,0.754222,1000.000000,1000.000000
0.091091,0.013544,1.950071,1.950071,0.754120,0.754120,1000.000000,1000.000000
0.092092,0.013503,1.950336,1.950336,0.754018,0.754018,1000.000000,1000.000000
0.093093,0.013463,1.950602,1.950602,0.753915,0.753915,1000.000000,1000.000000
0.094094,0.013422,1.950869,1.950869,0.753812,0.753812,1000.000000,1000.000000
0.095095,0.013382,1.951136,1.951136,0.753709,0.753709,1000.000000,1000.000000
0.096096,0.013342,1.951404,1.951404,0.753605,0.753605,1000.000000,1000.000000
0.097097,0.013302,1.951672,1.951672,0.753502,0.753502,1000.000000,1000.000000
0.098098,0.013262,1.951942,1.951942,0.753398,0.753398,1000.000000,1000.000000
0.099099,0.013222,1.952212,1.952212,0.753293,0.753293,1000.000000,1000.000000
0.100100,0.013183,1.952483,1.952483,0.753189,0.753189,1000.000000,1000.000000
0.101101,0.013143,1.952754,1.952754,0.753084,0.753084,1000.000000,1000.000000
0.102102,0.013104,1.953027,1.953027,0.752979,0.752979,1000.000000,1000.000000
0.103103,0.013064,1.953300,1.953300,0.752874,0.752874,1000.000000,1000.000000
0.104104,0.013025,1.953574,1.953574,0.752768,0.752768,1000.000000,1000.000000
0.105105,0.012986,1.953848,1.953848,0.752663,0.752663,1000.000000,1000.000000
0.106106,0.012947,1.954123,1.954123,0.752556,0.752556,1000.000000,1000.000000
0.107107,0.012908,1.954400,1.954400,0.752450,0.752450,1000.000000,1000.000000
0.108108,0.012870,1.954676,1.954676,0.752344,0.752344,1000.000000,1000.000000
0.109109,0.012831,1.954954,1.954954,0.752237,0.752237,1000.000000,1000.000000
0.110110,0.012793,1.955232,1.955232,0.752130,0.752130,1000.000000,1000.000000
0.111111,0.012754,1.955512,1.955512,0.752022,0.752022,1000.000000,1000.000000
0.112112,0.012716,1.955792,1.955792,0.751915,0.751915,1000.000000,1000.000000
0.113113,0.012678,1.956072,1.956072,0.751807,0.751807,1000.000000,1000.000000
0.114114,0.012640,1.956354,1.956354,0.751699,0.751699,1000.000000,1000.000000
0.115115,0.012602,1.956636,1.956636,0.751590,0.751590,1000.000000,1000.000000
0.116116,0.012564,1.956919,1.956919,0.751481,0.751481,1000.000000,1000.000000
0.117117,0.012527,1.957203,1.957203,0.751372,0.751372,1000.000000,1000.000000
0.118118,0.012489,1.957487,1.957487,0.751263,0.751263,1000.000000,1000.000000
0.119119,0.012452,1.957773,1.957773,0.751154,0.751154,1000.000000,1000.000000
0.120120,0.012414,1.958059,1.958059,0.751044,0.751044,1000.000000,1000.000000
0.121121,0.012377,1.958346,1.958346,0.750934,0.750934,1000.000000,1000.000000
0.122122,0.012340,1.958633,1.958633,0.750824,0.750824,1000.000000,1000.000000
0.123123,0.012303,1.958922,1.958922,0.750713,0.750713,1000.000000,1000.000000
0.124124,0.012266,1.959211,1.959211,0.750602,0.750602,1000.000000,1000.000000
0.125125,0.012229,1.959501,1.959501,0.750491,0.750491,1000.000000,1000.000000
0.126126,0.012192,1.959792,1.959792,0.750380,0.750380,1000.000000,1000.000000
0.127127,0.012156,1.960084,1.960084,0.750268,0.750268,1000.000000,1000.000000
0.128128,0.012119,1.960376,1.960376,0.750156,0.750156,1000.000000,1000.000000
0.129129,0.012083,1.960669,1.960669,0.750044,0.750044,1000.000000,1000.000000
0.130130,0.012047,1.960963,1.960963,0.749932,0.749932,1000.000000,1000.000000
0.131131,0.012011,1.961258,1.961258,0.749819,0.749819,1000.000000,1000.000000
0.132132,0.011975,1.961554,1.961554,0.749706,0.749706,1000.000000,1000.000000
0.133133,0.011939,1.961850,1.961850,0.749593,0.749593,1000.000000,1000.000000
0.134134,0.011903,1.962147,1.962147,0.749479,0.749479,1000.000000,1000.000000
0.135135,0.011867,1.962445,1.962445,0.749365,0.749365,1000.000000,1000.000000
0.136136,0.011832,1.962744,1.962744,0.749251,0.749251,1000.000000,1000.000000
0.137137,0.011796,1.963044,1.963044,0.749137,0.749137,1000.000000,1000.000000
0.138138,0.011761,1.963345,1.963345,0.749022,0.749022,1000.000000,1000.000000
0.139139,0.011726,1.963646,1.963646,0.748907,0.748907,1000.000000,1000.000000
0.140140,0.011691,1.963948,1.963948,0.748792,0.748792,1000.000000,1000.000000
0.141141,0.011655,1.964251,1.964251,0.748676,0.748676,1000.000000,1000.000000
0.142142,0.011621,1.964555,1.964555,0.748561,0.748561,1000.000000,1000.000000
0.143143,0.011586,1.964859,1.964859,0.748444,0.748444,1000.000000,1000.000000
0.144144,0.011551,1.965165,1.965165,0.748328,0.748328,1000.000000,1000.000000
0.145145,0.011516,1.965471,1.965471,0.748212,0.748212,1000.000000,1000.000000
0.146146,0.011482,1.965778,1.965778,0.748095,0.748095,1000.000000,1000.000000
0.147147,0.011447,1.966086,1.966086,0.747977,0.747977,1000.000000,1000.000000
0.148148,0.011413,1.966395,1.966395,0.747860,0.747860,1000.000000,1000.000000
0.149149,0.011379,1.966705,1.966705,0.747742,0.747742,1000.000000,1000.000000
0.150150,0.011345,1.967015,1.967015,0.747624,0.747624,1000.000000,1000.000000
0.151151,0.011311,1.967326,1.967326,0.747506,0.747506,1000.000000,1000.000000
0.152152,0.011277,1.967639,1.967639,0.747387,0.747387,1000.000000,1000.000000
0.153153,0.011243,1.967952,1.967952,0.747269,0.747269,1000.000000,1000.000000
0.154154,0.011209,1.968265,1.968265,0.747149,0.747149,1000.000000,1000.000000
0.155155,0.011176,1.968580,1.968580,0.747030,0.747030,1000.000000,1000.000000
0.156156,0.011142,1.968896,1.968896,0.746910,0.746910,1000.000000,1000.000000
0.157157,0.011109,1.969212,1.969212,0.746790,0.746790,1000.000000,1000.000000
0.158158,0.011075,1.969529,1.969529,0.746670,0.746670,1000.000000,1000.000000
0.159159,0.011042,1.969848,1.969848,0.746549,0.746549,1000.000000,1000.000000
0.160160,0.011009,1.970167,1.970167,0.746428,0.746428,1000.000000,1000.000000
0.161161,0.010976,1.970486,1.970486,0.746307,0.746307,1000.000000,1000.000000
0.162162,0.010943,1.970807,1.970807,0.746186,0.746186,1000.000000,1000.000000
0.163163,0.010910,1.971129,1.971129,0.746064,0.746064,1000.000000,1000.000000
0.164164,0.010878,1.971451,1.971451,0.745942,0.745942,1000.000000,1000.000000
0.165165,0.010845,1.971774,1.971774,0.745820,0.745820,1000.000000,1000.000000
0.166166,0.010812,1.972099,1.972099,0.745697,0.745697,1000.000000,1000.000000
0.167167,0.010780,1.972424,1.972424,0.745574,0.745574,1000.000000,1000.000000
0.168168,0.010748,1.972750,1.972750,0.745451,0.745451,1000.000000,1000.000000
0.169169,0.010715,1.973077,1.973077,0.745327,0.745327,1000.000000,1000.000000
0.170170,0.010683,1.973404,1.973404,0.745204,0.745204,1000.000000,1000.000000
0.171171,0.010651,1.973733,1.973733,0.745080,0.745080,1000.000000,1000.000000
0.172172,0.010619,1.974062,1.974062,0.744955,0.744955,1000.000000,1000.000000
0.173173,0.010588,1.974393,1.974393,0.744831,0.744831,1000.000000,1000.000000
0.174174,0.010556,1.974724,1.974724,0.744706,0.744706,1000.000000,1000.000000
0.175175,0.010524,1.975056,1.975056,0.744580,0.744580,1000.000000,1000.000000
0.176176,0.010493,1.975389,1.975389,0.744455,0.744455,1000.000000,1000.000000
0.177177,0.010461,1.975723,1.975723,0.744329,0.744329,1000.000000,1000.000000
0.178178,0.010430,1.976058,1.976058,0.744203,0.744203,1000.000000,1000.000000
0.179179,0.010398,1.976394,1.976394,0.744076,0.744076,1000.000000,1000.000000
0.180180,0.010367,1.976731,1.976731,0.743950,0.743950,1000.000000,1000.000000
0.181181,0.010336,1.977068,1.977068,0.743823,0.743823,1000.000000,1000.000000
0.182182,0.010305,1.977407,1.977407,0.743695,0.743695,1000.000000,1000.000000
0.183183,0.010274,1.977746,1.977746,0.743568,0.743568,1000.000000,1000.000000
0.184184,0.010244,1.978086,1.978086,0.743440,0.743440,1000.000000,1000.000000
0.185185,0.010213,1.978428,1.978428,0.743312,0.743312,1000.000000,1000.000000
0.186186,0.010182,1.978770,1.978770,0.743183,0.743183,1000.000000,1000.000000
0.187187,0.010152,1.979113,1.979113,0.743054,0.743054,1000.000000,1000.000000
0.188188,0.010121,1.979457,1.979457,0.742925,0.742925,1000.000000,1000.000000
0.189189,0.010091,1.979802,1.979802,0.742796,0.742796,1000.000000,1000.000000
0.190190,0.010061,1.980148,1.980148,0.742666,0.742666,1000.000000,1000.000000
0.191191,0.010030,1.980495,1.980495,0.742536,0.742536,1000.000000,1000.000000
0.192192,0.010000,1.980842,1.980842,0.742406,0.742406,1000.000000,1000.000000
0.193193,0.009970,1.981191,1.981191,0.742275,0.742275,1000.000000,1000.000000
0.194194,0.009940,1.981540,1.981540,0.742144,0.742144,1000.000000,1000.000000
0.195195,0.009911,1.981891,1.981891,0.742013,0.742013,1000.000000,1000.000000
0.196196,0.009881,1.982242,1.982242,0.741881,0.741881,1000.000000,1000.000000
0.197197,0.009851,1.982595,1.982595,0.741749,0.741749,1000.000000,1000.000000
0.198198,0.009822,1.982948,1.982948,0.741617,0.741617,1000.000000,1000.000000
0.199199,0.009792,1.983302,1.983302,0.741485,0.741485,1000.000000,1000.000000
0.200200,0.009763,1.983658,1.983658,0.741352,0.741352,1000.000000,1000.000000
0.201201,0.009734,1.984014,1.984014,0.741219,0.741219,1000.000000,1000.000000
0.202202,0.009705,1.984371,1.984371,0.741085,0.741085,1000.000000,1000.000000
0.203203,0.009675,1.984729,1.984729,0.740952,0.740952,1000.000000,1000.000000
0.204204,0.009646,1.985088,1.985088,0.740818,0.740818,1000.000000,1000.000000
0.205205,0.009617,1.985448,1.985448,0.740683,0.740683,1000.000000,1000.000000
0.206206,0.009589,1.985809,1.985809,0.740549,0.740549,1000.000000,1000.000000
0.207207,0.009560,1.986171,1.986171,0.740414,0.740414,1000.000000,1000.000000
0.208208,0.009531,1.986534,1.986534,0.740278,0.740278,1000.000000,1000.000000
0.209209,0.009503,1.986898,1.986898,0.740143,0.740143,1000.000000,1000.000000
0.210210,0.009474,1.987263,1.987263,0.740007,0.740007,1000.000000,1000.000000
0.211211,0.009446,1.987629,1.987629,0.739871,0.739871,1000.000000,1000.000000
0.212212,0.009417,1.987996,1.987996,0.739734,0.739734,1000.000000,1000.000000
0.213213,0.009389,1.988363,1.988363,0.739597,0.739597,1000.000000,1000.000000
0.214214,0.009361,1.988732,1.988732,0.739460,0.739460,1000.000000,1000.000000
0.215215,0.009333,1.989102,1.989102,0.739323,0.739323,1000.000000,1000.000000
0.216216,0.009305,1.989473,1.989473,0.739185,0.739185,1000.000000,1000.000000
0.217217,0.009277,1.989844,1.989844,0.739047,0.739047,1000.000000,1000.000000
0.218218,0.009249,1.990217,1.990217,0.738908,0.738908,1000.000000,1000.000000
0.219219,0.009222,1.990591,1.990591,0.738770,0.738770,1000.000000,1000.000000
0.220220,0.009194,1.990966,1.990966,0.738631,0.738631,1000.000000,1000.000000
0.221221,0.009166,1.991341,1.991341,0.738491,0.738491,1000.000000,1000.000000
0.222222,0.009139,1.991718,1.991718,0.738352,0.738352,1000.000000,1000.000000
0.223223,0.009111,1.992096,1.992096,0.738212,0.738212,1000.000000,1000.000000
0.224224,0.009084,1.992474,1.992474,0.738071,0.738071,1000.000000,1000.000000
0.225225,0.009057,1.992854,1.992854,0.737931,0.737931,1000.000000,1000.000000
0.226226,0.009030,1.993235,1.993235,0.737790,0.737790,1000.000000,1000.000000
0.227227,0.009003,1.993617,1.993617,0.737648,0.737648,1000.000000,1000.000000
0.228228,0.008976,1.993999,1.993999,0.737507,0.737507,1000.000000,1000.000000
0.229229,0.008949,1.994383,1.994383,0.737365,0.737365,1000.000000,1000.000000
0.230230,0.008922,1.994768,1.994768,0.737223,0.737223,1000.000000,1000.000000
0.231231,0.008895,1.995154,1.995154,0.737080,0.737080,1000.000000,1000.000000
0.232232,0.008868,1.995541,1.995541,0.736937,0.736937,1000.000000,1000.000000
0.233233,0.008842,1.995929,1.995929,0.736794,0.736794,1000.000000,1000.000000
0.234234,0.008815,1.996317,1.996317,0.736650,0.736650,1000.000000,1000.000000
0.235235,0.008789,1.996707,1.996707,0.736507,0.736507,1000.000000,1000.000000
0.236236,0.008763,1.997098,1.997098,0.736362,0.736362,1000.000000,1000.000000
0.237237,0.008736,1.997490,1.997490,0.736218,0.736218,1000.000000,1000.000000
0.238238,0.008710,1.997883,1.997883,0.736073,0.736073,1000.000000,1000.000000
0.239239,0.008684,1.998277,1.998277,0.735928,0.735928,1000.000000,1000.000000
0.240240,0.008658,1.998673,1.998673,0.735782,0.735782,1000.000000,1000.000000
