# Time (hours),k1,k2,k3,final_time
0,1.88637,0.12167,0.00176078,800000
800.801,1.88637,0.12167,0.00176078,800000
1601.6,1.88637,0.12167,0.00176078,800000
2402.4,1.88637,0.12167,0.00176078,800000
3203.2,1.88637,0.12167,0.00176078,800000
4004,1.88637,0.12167,0.00176078,800000
4804.8,1.88637,0.12167,0.00176078,800000
5605.61,1.88637,0.12167,0.00176078,800000
6406.41,1.88637,0.12167,0.00176078,800000
7207.21,1.88637,0.12167,0.00176078,800000
8008.01,1.88637,0.12167,0.00176078,800000
8808.81,1.88637,0.12167,0.00176078,800000
9609.61,1.88637,0.12167,0.00176078,800000
10410.4,1.88637,0.12167,0.00176078,800000
11211.2,1.88637,0.12167,0.00176078,800000
12012,1.88637,0.12167,0.00176078,800000
12812.8,1.88637,0.12167,0.00176078,800000
13613.6,1.88637,0.12167,0.00176078,800000
14414.4,1.88637,0.12167,0.00176078,800000
15215.2,1.88637,0.12167,0.00176078,800000
16016,1.88637,0.12167,0.00176078,800000
16816.8,1.88637,0.12167,0.00176078,800000
17617.6,1.88637,0.12167,0.00176078,800000
18418.4,1.88637,0.12167,0.00176078,800000
19219.2,1.88637,0.12167,0.00176078,800000
20020,1.88637,0.12167,0.00176078,800000
20820.8,1.88637,0.12167,0.00176078,800000
21621.6,1.88637,0.12167,0.00176078,800000
22422.4,1.88637,0.12167,0.00176078,800000
23223.2,1.88637,0.12167,0.00176078,800000
24024,1.88637,0.12167,0.00176078,800000
24824.8,1.88637,0.12167,0.00176078,800000
25625.6,1.88637,0.12167,0.00176078,800000
26426.4,1.88637,0.12167,0.00176078,800000
27227.2,1.88637,0.12167,0.00176078,800000
28028,1.88637,0.12167,0.00176078,800000
28828.8,1.88637,0.12167,0.00176078,800000
29629.6,1.88637,0.12167,0.00176078,800000
30430.4,1.88637,0.12167,0.00176078,800000
31231.2,1.88637,0.12167,0.00176078,800000
32032,1.88637,0.12167,0.00176078,800000
32832.8,1.88637,0.12167,0.00176078,800000
33633.6,1.88637,0.12167,0.00176078,800000
34434.4,1.88637,0.12167,0.00176078,800000
35235.2,1.88637,0.12167,0.00176078,800000
36036,1.88637,0.12167,0.00176078,800000
36836.8,1.88637,0.12167,0.00176078,800000
37637.6,1.88637,0.12167,0.00176078,800000
38438.4,1.88637,0.12167,0.00176078,800000
39239.2,1.88637,0.12167,0.00176078,800000
40040,1.88637,0.12167,0.00176078,800000
40840.8,1.88637,0.12167,0.00176078,800000
41641.6,1.88637,0.12167,0.00176078,800000
42442.4,1.88637,0.12167,0.00176078,800000
43243.2,1.88637,0.12167,0.00176078,800000
44044,1.88637,0.12167,0.00176078,800000
44844.8,1.88637,0.12167,0.00176078,800000
45645.6,1.88637,0.12167,0.00176078,800000
46446.4,1.88637,0.12167,0.00176078,800000
47247.2,1.88637,0.12167,0.00176078,800000
48048,1.88637,0.12167,0.00176078,800000
48848.8,1.88637,0.12167,0.00176078,800000
49649.6,1.88637,0.12167,0.00176078,800000
50450.5,1.88637,0.12167,0.00176078,800000
51251.3,1.88637,0.12167,0.00176078,800000
52052.1,1.88637,0.12167,0.00176078,800000
52852.9,1.88637,0.12167,0.00176078,800000
53653.7,1.88637,0.12167,0.00176078,800000
54454.5,1.88637,0.12167,0.00176078,800000
55255.3,1.88637,0.12167,0.00176078,800000
56056.1,1.88637,0.12167,0.00176078,800000
56856.9,1.88637,0.12167,0.00176078,800000
57657.7,1.88637,0.12167,0.00176078,800000
58458.5,1.88637,0.12167,0.00176078,800000
59259.3,1.88637,0.12167,0.00176078,800000
