Time,CHO,CH2O2,FRR_value,lm
0.0,8.726878291529156e-12,635783.9416736466,6.884517749185558e-08,0.0178
0.001001001001001001,8.726878291529156e-12,635783.9416736466,6.884517749185558e-08,0.017589896062245612
0.002002002002002002,8.726878291529156e-12,635783.9416736466,6.803255710497702e-08,0.017382272105651894
0.003003003003003003,8.726878291529156e-12,635783.9416736466,6.722952855760311e-08,0.017177098857533032
0.004004004004004004,8.726878291529156e-12,635783.9416736466,6.643597863157369e-08,0.016974347390726063
0.005005005005005005,8.726878291529156e-12,635783.9416736466,6.565179544510965e-08,0.01677398911951244
0.006006006006006006,8.726878291529156e-12,635783.9416736466,6.487686843703868e-08,0.01657599579558779
0.007007007007007007,8.726878291529156e-12,635783.9416736466,6.41110883512075e-08,0.016380339504079185
0.008008008008008008,8.726878291529156e-12,635783.9416736466,6.335434722107782e-08,0.01618699265960948
0.009009009009009009,8.726878291529156e-12,635783.9416736466,6.260653835450439e-08,0.015995928002408056
0.01001001001001001,8.726878291529156e-12,635783.9416736466,6.186755631869247e-08,0.015807118594467515
0.011011011011011011,8.726878291529156e-12,635783.9416736466,6.113729692533297e-08,0.015620537815745706
0.012012012012012012,8.726878291529156e-12,635783.9416736466,6.041565721591323e-08,0.015436159360412588
0.013013013013013013,8.726878291529156e-12,635783.9416736466,5.970253544720073e-08,0.015253957233141413
0.014014014014014014,8.726878291529156e-12,635783.9416736466,5.89978310768986e-08,0.015073905745443658
0.015015015015015015,8.726878291529156e-12,635783.9416736466,5.830144474947025e-08,0.014895979512047243
0.016016016016016016,8.726878291529156e-12,635783.9416736466,5.761327828213129e-08,0.01472015344731748
0.017017017017017015,8.726878291529156e-12,635783.9416736466,5.6933234651006845e-08,0.014546402761720277
0.018018018018018018,8.726878291529156e-12,635783.9416736466,5.6261217977452294e-08,0.014374702958327091
0.01901901901901902,8.726878291529156e-12,635783.9416736466,5.559713351453541e-08,0.014205029829361126
0.02002002002002002,8.726878291529156e-12,635783.9416736466,5.494088763367808e-08,0.014037359452784311
0.02102102102102102,8.726878291529156e-12,635783.9416736466,5.429238781145578e-08,0.01387166818892455
0.022022022022022022,8.726878291529156e-12,635783.9416736466,5.365154261655267e-08,0.01370793267714279
