datetime,PLL:.19RA_10GH101XG04R.DInput.St.PV,PLL:.19RA_10GH101XG08.DInput.St.PV,PLL:.19RA_10GH101XG13.DInput.St.PV,PLL:.19RA_CP205A.SDDevCtl.St.Running,PLL:.19RA_CP205AWG40E.DInput.St.PV,PLL:.19RA_CP205B.SDDevCtl.St.Running,PLL:.19RA_CP205BWG40E.DInput.St.PV,PLL:.19RA_CP205C.SDDevCtl.St.Running,PLL:.19RA_CP205CWG40E.DInput.St.PV,PLL:.19RA_CS001VWJ1.AInput1.St.PV,PLL:.19RA_CS002VWJ1.AInput1.St.PV,PLL:.19RA_CS003VWJ1.AInput1.St.PV,PLL:.19RA_CS004VWJ1.AInput1.St.PV,PLL:.19RA_CS005VWJ1.AInput1.St.PV,PLL:.19RA_CS006VWJ1.AInput1.St.PV,PLL:.19RA_CS007VWJ1.AInput1.St.PV,PLL:.19RA_CS008VWJ1.AInput1.St.PV,PLL:.19RA_CS009VWJ1.AInput1.St.PV,PLL:.19RA_CS010VWJ1.AInput1.St.PV,PLL:.19RA_CS011VWJ1.AInput1.St.PV,PLL:.19RA_CS012VWJ1.AInput1.St.PV,PLL:.19RA_CS013VWJ1.AInput1.St.PV,PLL:.19RA_CS014VWJ1.AInput1.St.PV,PLL:.19RA_CS015VWJ1.AInput1.St.PV,PLL:.19RA_CS016VWJ1.AInput1.St.PV,PLL:.19RA_FT205A.AInput1.St.PV,PLL:.19RA_FT205B.AInput1.St.PV,PLL:.19RA_FT205C.AInput1.St.PV,PLL:.19RA_FT208.AInput1.St.PV,PLL:.19RA_PIT214.AInput1.St.PV,PLL:.19RA_PIT264.AInput1.St.PV,PLL:.19RA_PIT300A.AInput1.St.PV,PLL:.19RA_PIT300B.AInput1.St.PV,PLL:.19RA_PIT300C.AInput1.St.PV,PLL:.19RA_PIT300D.AInput1.St.PV,PLL:.19RA_PIT300E.AInput1.St.PV,PLL:.19RA_PIT300F.AInput1.St.PV,PLL:.19RA_PIT300G.AInput1.St.PV,PLL:.19RA_PIT300H.AInput1.St.PV,PLL:.19RA_PIT300I.AInput1.St.PV,PLL:.19RA_PIT300J.AInput1.St.PV,PLL:.19RA_PIT300K.AInput1.St.PV,PLL:.19RA_PIT300L.AInput1.St.PV,PLL:.19RA_PIT300M.AInput1.St.PV,PLL:.19RA_PIT300N.AInput1.St.PV,PLL:.19RA_PIT300O.AInput1.St.PV,PLL:.19RA_PIT300P.AInput1.St.PV,PLL:.19RA_PIT307.AInput1.St.PV,PLL:.19RA_RE001IWJ01.AInput1.St.PV,PLL:.19RA_RE001IWJ02.AInput1.St.PV,PLL:.19RA_RE002IWJ01.AInput1.St.PV,PLL:.19RA_RE002IWJ02.AInput1.St.PV,PLL:.19RA_RE003IWJ01.AInput1.St.PV,PLL:.19RA_RE003IWJ02.AInput1.St.PV,PLL:.19RA_RE004IWJ01.AInput1.St.PV,PLL:.19RA_RE004IWJ02.AInput1.St.PV,PLL:.19RA_RE005IWJ01.AInput1.St.PV,PLL:.19RA_RE005IWJ02.AInput1.St.PV,PLL:.19RA_RE006IWJ01.AInput1.St.PV,PLL:.19RA_RE006IWJ02.AInput1.St.PV,PLL:.19RA_RE007IWJ01.AInput1.St.PV,PLL:.19RA_RE007IWJ02.AInput1.St.PV,PLL:.19RA_RE008IWJ01.AInput1.St.PV,PLL:.19RA_RE008IWJ02.AInput1.St.PV,PLL:.19RA_TIT140.AInput1.St.PV,PLL:.19RA_TIT200A.AInput1.St.PV,PLL:.19RA_TIT200B.AInput1.St.PV,PLL:.19RA_TIT200C.AInput1.St.PV,PLL:.19RA_TIT200D.AInput1.St.PV,PLL:.19RA_TIT200E.AInput1.St.PV,PLL:.19RA_TIT200F.AInput1.St.PV,PLL:.19RA_TIT200G.AInput1.St.PV,PLL:.19RA_TIT200H.AInput1.St.PV,PLL:.19RA_TIT200I.AInput1.St.PV,PLL:.19RA_TIT200J.AInput1.St.PV,PLL:.19RA_TIT200K.AInput1.St.PV,PLL:.19RA_TIT200L.AInput1.St.PV,PLL:.19RA_TIT200M.AInput1.St.PV,PLL:.19RA_TIT200N.AInput1.St.PV,PLL:.19RA_TIT200O.AInput1.St.PV,PLL:.19RA_TIT200P.AInput1.St.PV,PLL:.ConsumoEliz.PV,PLL:.ConsumoEZ.PV
2024-08-15 00:10:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.091885604,-0.548666,404.99826,414.5625,399.7468,-0.5097245,403.523773,401.874,-0.5627944,-1.3622843,400.3599,405.076324,405.747864,-0.01724092,403.740784,401.72934,302.295227,284.8653,291.0339,59.2205276,32.6088829,5.1598177,-0.005152048,-0.0392411835,19.40809,19.3977489,19.3960857,0.464832425,19.4306488,19.4112511,0.7391153,-0.01506897,19.42518,19.39014,19.3921738,-0.0016254459,19.4257183,19.3977451,18.08015,0.0,0.0,0.0,0.0,0.0,2997.849,0.0,3011.73975,0.0,3002.13062,0.0,0.0,0.0,3014.849,0.0,3013.151,30.4070339,31.6918621,31.5439358,58.4978828,58.60712,58.7961121,30.2030334,58.4194336,57.08965,30.5626774,32.13698,58.55575,58.5174255,58.77286,34.3183327,58.5834846,58.3201141,12.5582829,2000.0
2024-08-15 00:11:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0941230059,-0.555444658,399.026978,408.958984,394.43277,-0.512436867,397.862274,396.1886,-0.5718372,-1.35811126,395.37323,399.269531,400.447449,-0.0186500419,397.905,396.30368,302.5684,284.8036,290.06723,60.133564,27.0928211,5.14583445,-0.00530702341,-0.05156917,31.5506172,31.5639744,31.5373669,0.4545379,31.5708179,31.5349865,0.7275158,-0.0260823686,31.5696945,31.550848,31.5481834,-0.0142121213,31.5703449,31.55524,31.54948,0.0,0.0,0.0,0.0,0.0,2773.62158,0.0,2789.63843,0.0,2788.966,0.0,0.0,0.0,2788.966,0.0,2788.966,30.41475,31.6807823,31.5352955,60.1761551,60.36869,60.6550674,30.2129574,60.11452,58.78088,30.5601788,32.11816,60.03402,60.1355057,60.3429527,34.317482,60.1581955,59.9842834,11.0916376,2000.0
2024-08-15 00:12:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0963604,-0.5622234,409.135956,418.587952,403.229858,-0.515149236,407.7265,405.504852,-0.5526302,-1.3539381,403.699951,408.980743,410.105865,-0.0200591646,408.03006,405.0267,301.202637,284.355865,288.154633,60.5018234,28.2462788,5.17263,-0.005461999,-0.0505632348,30.5083618,30.5078926,30.5106163,0.45562765,30.5285511,30.5034828,0.7266452,-0.0262559783,30.5138111,30.50651,30.50426,-0.01312238,30.5170422,30.508194,30.60764,0.0,0.0,0.0,0.0,0.0,2997.45117,0.0,2997.45117,0.0,2998.54883,0.0,0.0,0.0,2997.54883,0.0,2997.45117,30.4109859,31.6849689,31.5406284,60.622097,60.91892,61.0297432,30.21957,60.6255264,59.1780968,30.5504417,32.0633469,60.51423,60.5601959,60.78502,34.3128242,60.5215721,60.5646935,12.6683712,2000.0
2024-08-15 00:13:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0985978,-0.569002032,408.983429,418.113556,402.56604,-0.5178616,406.49292,405.082367,-0.5670812,-1.34976506,403.628418,408.147522,409.0351,-0.0214682873,406.735748,404.235382,301.362579,283.8828,288.997681,60.08311,29.4927826,5.174417,-0.005616975,-0.0504356474,30.00002,30.0262661,30.00064,0.455522835,30.0231647,29.990099,0.7275906,-0.02642959,30.0246124,29.9998131,30.0101471,-0.0132271731,30.0128365,30.0084934,30.0520821,0.0,0.0,0.0,0.0,0.0,2998.77246,0.0,2999.27417,0.0,3000.04688,0.0,0.0,0.0,3000.70557,0.0,2999.933,30.4170341,31.67535,31.53274,59.0146141,59.6110725,59.28908,30.1996555,59.25889,57.4806175,30.55349,32.1288,59.0402451,58.9844131,59.18984,34.3163,58.96539,59.3816757,12.6641855,2000.0
2024-08-15 00:14:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.100835204,-0.575780749,412.3818,421.512238,405.507721,-0.520574,410.308746,408.47467,-0.54894495,-1.3455919,405.940979,411.68277,412.677551,-0.02287741,410.573944,407.6895,301.0358,284.9551,289.482269,60.91697,26.6630249,5.173568,-0.00577195035,-0.05030806,30.0407,30.0408726,30.0335255,0.455307662,30.05058,30.0142841,0.7270473,-0.0266032,30.0470924,30.03455,30.029665,-0.0135826832,30.052515,30.0241146,29.93779,0.0,0.0,0.0,0.0,0.0,2998.511,0.0,2997.75537,0.0,3003.39941,0.0,0.0,0.0,3003.29419,0.0,2996.73364,30.5175781,31.675827,31.5259781,59.0132675,59.4017448,59.3331032,30.2073765,59.12803,57.4729156,30.5601368,32.0563126,58.9224739,58.9242554,59.06843,34.3335342,58.8215256,59.1657829,12.7891264,2000.0
2024-08-15 00:15:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.1030726,-0.5554035,412.2041,420.37793,404.9311,-0.523286343,408.5403,407.733643,-0.57601887,-1.34141886,406.2213,410.365173,411.079834,-0.0242865328,409.086151,407.166748,301.380554,283.758362,288.795868,59.289856,27.3453484,5.18032074,-0.00516837,-0.0501804724,30.07675,30.0889111,30.07546,0.45511052,30.08914,30.05724,0.726503968,-0.02677681,30.0786266,30.0756454,30.067482,-0.0142036937,30.0926628,30.0577412,30.0014477,0.0,0.0,0.0,0.0,0.0,2995.219,0.0,2997.875,0.0,2998.521,0.0,0.0,0.0,2997.198,0.0,2997.36841,30.4118271,31.6768379,31.54256,57.2302132,57.8089447,57.46751,30.1816616,57.4962158,55.62474,30.5315475,32.0751953,57.250782,57.18489,57.3595619,34.3093071,57.0919266,57.6226463,12.7611647,2000.0
2024-08-15 00:16:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.10531,-0.546887636,408.079254,417.187164,401.781128,-0.5259987,406.18985,404.274841,-0.56864655,-1.364364,403.081451,407.41748,408.502716,-0.0256956536,406.294281,404.114258,301.653534,285.408875,288.95874,59.85317,28.7552834,5.177672,-0.004862488,-0.050052885,30.0584431,30.0705738,30.06567,0.455314,30.08601,30.05257,0.7271977,-0.02695042,30.0737152,30.0612583,30.06881,-0.0132819908,30.0879345,30.05595,29.9927673,0.0,0.0,0.0,0.0,0.0,2997.5752,0.0,2998.81543,0.0,3006.09814,0.0,0.0,0.0,2999.476,0.0,2997.434,30.35482,31.673336,31.54353,58.1243,58.604496,58.6452866,30.2117081,58.3376579,56.835228,30.5402832,32.04652,57.9777031,58.29471,58.6692543,34.31204,58.346138,58.0754929,12.6375208,2000.0
2024-08-15 00:17:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.1075474,-0.5649344,413.184479,422.1952,406.1259,-0.528711,411.169647,409.4591,-0.558047,-1.37708151,407.057922,412.1505,413.147644,-0.0271047764,411.5569,408.533417,301.624481,284.603241,287.8216,59.9997749,27.0178928,5.175908,-0.00438019354,-0.0499252975,30.097784,30.1070461,30.1004658,0.454592049,30.1155262,30.0971584,0.7273747,-0.02712403,30.0954437,30.10357,30.0963078,-0.0143647315,30.1215572,30.1072578,30.0245953,0.0,0.0,0.0,0.0,0.0,3000.91455,0.0,3006.03833,0.0,3000.13965,0.0,0.0,0.0,2998.32178,0.0,2998.67822,30.3059921,31.6803112,31.5422745,58.838398,59.10758,59.1288,30.20005,58.8091469,57.272068,30.5365219,32.134594,58.70172,58.65191,58.7398224,34.32045,58.5074844,58.86688,12.7870607,2000.0
2024-08-15 00:18:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03456022,-0.5530256,409.7741,418.439728,403.037659,-0.5314234,406.933716,405.463928,-0.5530256,-1.38001418,404.7209,408.646667,409.2984,-0.0285139,407.096527,405.282928,302.595184,284.089569,288.6118,60.25068,29.7928734,5.17344,-0.00454711169,-0.04979771,30.0811615,30.0966148,30.0740719,0.4544373,30.1046867,30.0685616,0.7273003,-0.0272976421,30.1039467,30.0883083,30.0803223,-0.0136393541,30.1062775,30.0792522,30.0028954,0.0,0.0,0.0,0.0,0.0,2998.86816,0.0,3000.634,0.0,2998.73657,0.0,0.0,0.0,2997.86816,0.0,2997.13184,30.3559246,31.6580753,31.5171318,57.00516,57.6734123,57.3431969,30.1915321,57.3648453,55.549305,30.5477142,32.09219,57.01468,57.080265,57.3626633,34.3213234,57.0776825,57.3752441,12.6876326,2000.0
2024-08-15 00:19:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0277726576,-0.558902264,409.7293,419.6586,403.6891,-0.534135759,408.467621,405.894135,-0.575133443,-1.38294685,404.183319,409.497772,410.884857,-0.0299230218,408.849274,405.303619,302.028381,284.302826,290.670959,59.55556,26.3276367,5.17347,-0.00471403,-0.0496701226,30.0918427,30.0864258,30.0761356,0.454708427,30.1073246,30.06183,0.7266857,-0.0274712518,30.1070118,30.0757771,30.0870152,-0.0134491324,30.1052322,30.098217,30.0376148,0.0,0.0,0.0,0.0,0.0,2995.95483,0.0,3000.59,0.0,3000.83179,0.0,0.0,0.0,3006.54834,0.0,3006.933,30.4143887,31.6617355,31.5124531,59.38253,59.7046242,59.99765,30.2023468,59.4189072,58.1350822,30.54537,32.0831032,59.1272354,59.4617767,59.80597,34.30095,59.5027046,59.11351,12.7433929,2000.0
