# Time (hours),Membrane Thickness (cm),Voltage (V),Voltage Check(V),Current Density (A/cm^2),Current Density Check(A/cm^2),Power (W),Power Check(W)
0.064064,0.017159,1.931339,1.931339,0.761435,0.761435,1000.000000,1000.000000
0.065065,0.017149,1.931380,1.931380,0.761418,0.761418,1000.000000,1000.000000
0.066066,0.017139,1.931421,1.931421,0.761402,0.761402,1000.000000,1000.000000
0.067067,0.017129,1.931463,1.931463,0.761386,0.761386,1000.000000,1000.000000
0.068068,0.017119,1.931504,1.931504,0.761369,0.761369,1000.000000,1000.000000
0.069069,0.017109,1.931546,1.931546,0.761353,0.761353,1000.000000,1000.000000
0.070070,0.017099,1.931587,1.931587,0.761337,0.761337,1000.000000,1000.000000
0.071071,0.017089,1.931629,1.931629,0.761320,0.761320,1000.000000,1000.000000
0.072072,0.017079,1.931671,1.931671,0.761304,0.761304,1000.000000,1000.000000
0.073073,0.017069,1.931712,1.931712,0.761287,0.761287,1000.000000,1000.000000
0.074074,0.017059,1.931754,1.931754,0.761271,0.761271,1000.000000,1000.000000
0.075075,0.017049,1.931796,1.931796,0.761255,0.761255,1000.000000,1000.000000
0.076076,0.017039,1.931838,1.931838,0.761238,0.761238,1000.000000,1000.000000
0.077077,0.017029,1.931880,1.931880,0.761222,0.761222,1000.000000,1000.000000
0.078078,0.017019,1.931921,1.931921,0.761205,0.761205,1000.000000,1000.000000
0.079079,0.017009,1.931963,1.931963,0.761188,0.761188,1000.000000,1000.000000
0.080080,0.016999,1.932005,1.932005,0.761172,0.761172,1000.000000,1000.000000
0.081081,0.016989,1.932048,1.932048,0.761155,0.761155,1000.000000,1000.000000
0.082082,0.016979,1.932090,1.932090,0.761139,0.761139,1000.000000,1000.000000
0.083083,0.016969,1.932132,1.932132,0.761122,0.761122,1000.000000,1000.000000
0.084084,0.016959,1.932174,1.932174,0.761105,0.761105,1000.000000,1000.000000
0.085085,0.016949,1.932216,1.932216,0.761089,0.761089,1000.000000,1000.000000
0.086086,0.016939,1.932259,1.932259,0.761072,0.761072,1000.000000,1000.000000
0.087087,0.016929,1.932301,1.932301,0.761055,0.761055,1000.000000,1000.000000
0.088088,0.016919,1.932344,1.932344,0.761039,0.761039,1000.000000,1000.000000
0.089089,0.016909,1.932386,1.932386,0.761022,0.761022,1000.000000,1000.000000
0.090090,0.016899,1.932429,1.932429,0.761005,0.761005,1000.000000,1000.000000
0.091091,0.016889,1.932471,1.932471,0.760988,0.760988,1000.000000,1000.000000
0.092092,0.016879,1.932514,1.932514,0.760972,0.760972,1000.000000,1000.000000
0.093093,0.016869,1.932556,1.932556,0.760955,0.760955,1000.000000,1000.000000
0.094094,0.016859,1.932599,1.932599,0.760938,0.760938,1000.000000,1000.000000
0.095095,0.016849,1.932642,1.932642,0.760921,0.760921,1000.000000,1000.000000
0.096096,0.016839,1.932685,1.932685,0.760904,0.760904,1000.000000,1000.000000
0.097097,0.016829,1.932728,1.932728,0.760888,0.760888,1000.000000,1000.000000
0.098098,0.016819,1.932770,1.932770,0.760871,0.760871,1000.000000,1000.000000
0.099099,0.016809,1.932813,1.932813,0.760854,0.760854,1000.000000,1000.000000
0.100100,0.016799,1.932856,1.932856,0.760837,0.760837,1000.000000,1000.000000
0.101101,0.016789,1.932899,1.932899,0.760820,0.760820,1000.000000,1000.000000
0.102102,0.016779,1.932943,1.932943,0.760803,0.760803,1000.000000,1000.000000
0.103103,0.016769,1.932986,1.932986,0.760786,0.760786,1000.000000,1000.000000
0.104104,0.016759,1.933029,1.933029,0.760769,0.760769,1000.000000,1000.000000
0.105105,0.016749,1.933072,1.933072,0.760752,0.760752,1000.000000,1000.000000
0.106106,0.016739,1.933115,1.933115,0.760735,0.760735,1000.000000,1000.000000
0.107107,0.016729,1.933159,1.933159,0.760718,0.760718,1000.000000,1000.000000
0.108108,0.016719,1.933202,1.933202,0.760701,0.760701,1000.000000,1000.000000
0.109109,0.016709,1.933246,1.933246,0.760684,0.760684,1000.000000,1000.000000
0.110110,0.016699,1.933289,1.933289,0.760666,0.760666,1000.000000,1000.000000
0.111111,0.016689,1.933333,1.933333,0.760649,0.760649,1000.000000,1000.000000
0.112112,0.016679,1.933376,1.933376,0.760632,0.760632,1000.000000,1000.000000
0.113113,0.016669,1.933420,1.933420,0.760615,0.760615,1000.000000,1000.000000
0.114114,0.016659,1.933464,1.933464,0.760598,0.760598,1000.000000,1000.000000
0.115115,0.016649,1.933508,1.933508,0.760581,0.760581,1000.000000,1000.000000
0.116116,0.016639,1.933551,1.933551,0.760563,0.760563,1000.000000,1000.000000
0.117117,0.016629,1.933595,1.933595,0.760546,0.760546,1000.000000,1000.000000
0.118118,0.016619,1.933639,1.933639,0.760529,0.760529,1000.000000,1000.000000
0.119119,0.016609,1.933683,1.933683,0.760512,0.760512,1000.000000,1000.000000
0.120120,0.016599,1.933727,1.933727,0.760494,0.760494,1000.000000,1000.000000
0.121121,0.016589,1.933771,1.933771,0.760477,0.760477,1000.000000,1000.000000
0.122122,0.016579,1.933815,1.933815,0.760460,0.760460,1000.000000,1000.000000
0.123123,0.016569,1.933859,1.933859,0.760442,0.760442,1000.000000,1000.000000
0.124124,0.016559,1.933904,1.933904,0.760425,0.760425,1000.000000,1000.000000
0.125125,0.016549,1.933948,1.933948,0.760407,0.760407,1000.000000,1000.000000
0.126126,0.016539,1.933992,1.933992,0.760390,0.760390,1000.000000,1000.000000
0.127127,0.016529,1.934037,1.934037,0.760372,0.760372,1000.000000,1000.000000
0.128128,0.016519,1.934081,1.934081,0.760355,0.760355,1000.000000,1000.000000
0.129129,0.016509,1.934126,1.934126,0.760338,0.760338,1000.000000,1000.000000
0.130130,0.016499,1.934170,1.934170,0.760320,0.760320,1000.000000,1000.000000
0.131131,0.016489,1.934215,1.934215,0.760302,0.760302,1000.000000,1000.000000
0.132132,0.016479,1.934259,1.934259,0.760285,0.760285,1000.000000,1000.000000
0.133133,0.016469,1.934304,1.934304,0.760267,0.760267,1000.000000,1000.000000
0.134134,0.016459,1.934349,1.934349,0.760250,0.760250,1000.000000,1000.000000
0.135135,0.016449,1.934394,1.934394,0.760232,0.760232,1000.000000,1000.000000
0.136136,0.016439,1.934438,1.934438,0.760215,0.760215,1000.000000,1000.000000
0.137137,0.016429,1.934483,1.934483,0.760197,0.760197,1000.000000,1000.000000
0.138138,0.016419,1.934528,1.934528,0.760179,0.760179,1000.000000,1000.000000
0.139139,0.016409,1.934573,1.934573,0.760162,0.760162,1000.000000,1000.000000
0.140140,0.016399,1.934618,1.934618,0.760144,0.760144,1000.000000,1000.000000
0.141141,0.016389,1.934663,1.934663,0.760126,0.760126,1000.000000,1000.000000
0.142142,0.016379,1.934709,1.934709,0.760108,0.760108,1000.000000,1000.000000
0.143143,0.016369,1.934754,1.934754,0.760091,0.760091,1000.000000,1000.000000
0.144144,0.016359,1.934799,1.934799,0.760073,0.760073,1000.000000,1000.000000
0.145145,0.016349,1.934844,1.934844,0.760055,0.760055,1000.000000,1000.000000
0.146146,0.016339,1.934890,1.934890,0.760037,0.760037,1000.000000,1000.000000
0.147147,0.016329,1.934935,1.934935,0.760019,0.760019,1000.000000,1000.000000
0.148148,0.016319,1.934981,1.934981,0.760002,0.760002,1000.000000,1000.000000
0.149149,0.016309,1.935026,1.935026,0.759984,0.759984,1000.000000,1000.000000
0.150150,0.016298,1.935072,1.935072,0.759966,0.759966,1000.000000,1000.000000
0.151151,0.016288,1.935117,1.935117,0.759948,0.759948,1000.000000,1000.000000
0.152152,0.016278,1.935163,1.935163,0.759930,0.759930,1000.000000,1000.000000
0.153153,0.016268,1.935209,1.935209,0.759912,0.759912,1000.000000,1000.000000
0.154154,0.016258,1.935255,1.935255,0.759894,0.759894,1000.000000,1000.000000
0.155155,0.016248,1.935301,1.935301,0.759876,0.759876,1000.000000,1000.000000
0.156156,0.016238,1.935346,1.935346,0.759858,0.759858,1000.000000,1000.000000
0.157157,0.016228,1.935392,1.935392,0.759840,0.759840,1000.000000,1000.000000
0.158158,0.016218,1.935438,1.935438,0.759822,0.759822,1000.000000,1000.000000
0.159159,0.016208,1.935485,1.935485,0.759804,0.759804,1000.000000,1000.000000
0.160160,0.016198,1.935531,1.935531,0.759786,0.759786,1000.000000,1000.000000
0.161161,0.016188,1.935577,1.935577,0.759767,0.759767,1000.000000,1000.000000
0.162162,0.016178,1.935623,1.935623,0.759749,0.759749,1000.000000,1000.000000
0.163163,0.016168,1.935669,1.935669,0.759731,0.759731,1000.000000,1000.000000
0.164164,0.016158,1.935716,1.935716,0.759713,0.759713,1000.000000,1000.000000
0.165165,0.016148,1.935762,1.935762,0.759695,0.759695,1000.000000,1000.000000
0.166166,0.016138,1.935809,1.935809,0.759676,0.759676,1000.000000,1000.000000
0.167167,0.016128,1.935855,1.935855,0.759658,0.759658,1000.000000,1000.000000
0.168168,0.016118,1.935902,1.935902,0.759640,0.759640,1000.000000,1000.000000
0.169169,0.016108,1.935948,1.935948,0.759622,0.759622,1000.000000,1000.000000
0.170170,0.016098,1.935995,1.935995,0.759603,0.759603,1000.000000,1000.000000
0.171171,0.016088,1.936042,1.936042,0.759585,0.759585,1000.000000,1000.000000
0.172172,0.016078,1.936089,1.936089,0.759567,0.759567,1000.000000,1000.000000
0.173173,0.016068,1.936136,1.936136,0.759548,0.759548,1000.000000,1000.000000
0.174174,0.016058,1.936182,1.936182,0.759530,0.759530,1000.000000,1000.000000
0.175175,0.016048,1.936229,1.936229,0.759511,0.759511,1000.000000,1000.000000
0.176176,0.016038,1.936276,1.936276,0.759493,0.759493,1000.000000,1000.000000
0.177177,0.016028,1.936324,1.936324,0.759474,0.759474,1000.000000,1000.000000
0.178178,0.016018,1.936371,1.936371,0.759456,0.759456,1000.000000,1000.000000
0.179179,0.016008,1.936418,1.936418,0.759437,0.759437,1000.000000,1000.000000
0.180180,0.015998,1.936465,1.936465,0.759419,0.759419,1000.000000,1000.000000
0.181181,0.015988,1.936512,1.936512,0.759400,0.759400,1000.000000,1000.000000
0.182182,0.015978,1.936560,1.936560,0.759382,0.759382,1000.000000,1000.000000
0.183183,0.015968,1.936607,1.936607,0.759363,0.759363,1000.000000,1000.000000
0.184184,0.015958,1.936655,1.936655,0.759345,0.759345,1000.000000,1000.000000
0.185185,0.015948,1.936702,1.936702,0.759326,0.759326,1000.000000,1000.000000
0.186186,0.015938,1.936750,1.936750,0.759307,0.759307,1000.000000,1000.000000
0.187187,0.015928,1.936798,1.936798,0.759289,0.759289,1000.000000,1000.000000
0.188188,0.015918,1.936845,1.936845,0.759270,0.759270,1000.000000,1000.000000
0.189189,0.015908,1.936893,1.936893,0.759251,0.759251,1000.000000,1000.000000
0.190190,0.015898,1.936941,1.936941,0.759232,0.759232,1000.000000,1000.000000
0.191191,0.015888,1.936989,1.936989,0.759214,0.759214,1000.000000,1000.000000
0.192192,0.015878,1.937037,1.937037,0.759195,0.759195,1000.000000,1000.000000
0.193193,0.015868,1.937085,1.937085,0.759176,0.759176,1000.000000,1000.000000
0.194194,0.015858,1.937133,1.937133,0.759157,0.759157,1000.000000,1000.000000
0.195195,0.015848,1.937181,1.937181,0.759138,0.759138,1000.000000,1000.000000
0.196196,0.015838,1.937229,1.937229,0.759119,0.759119,1000.000000,1000.000000
0.197197,0.015828,1.937277,1.937277,0.759101,0.759101,1000.000000,1000.000000
0.198198,0.015818,1.937326,1.937326,0.759082,0.759082,1000.000000,1000.000000
